scenario_id,nl_prompt,original_prompt,req_devices,req_triggers,req_actions,req_conditions,m2_completed,m2_ok,m2_error_count,m2_warning_count,m2_schema_error_count,m2_ir_path,m2_puml_path,m2_report_path,m2_exception,devices_required,devices_present,devices_coverage,missing_devices,triggers_required,triggers_present,triggers_coverage,missing_triggers,actions_required,actions_present,actions_coverage,missing_actions,overall_coverage,m1_completed,m1_ok,m1_error_count,m1_ir_path,m1_puml_path,m1_report_path,m1_exception
S11,"If motion is detected by the Hallway Motion Sensor after sunset, then turn on the Hallway Light for 5 minutes.","If motion is detected by the front door sensor and it is after sunset, then turn on the porch light for 5 minutes.",motion_hall|light_hall,"becomes(motion_hall.motion,active)","command(light_hall,on)|delay(300)|command(light_hall,off)",time_after_sunset|duration(300s),True,True,0,0,0,metrics_out\runs\metric2\S11\final.ir.json,metrics_out\runs\metric2\S11\final.puml,metrics_out\runs\metric2\S11\validation_report.json,,2,2,1.0,,1,1,1.0,,3,2,0.6667,delay(300),0.8333,True,True,0,metrics_out\runs\metric1\S11\final.ir.json,metrics_out\runs\metric1\S11\final.puml,metrics_out\runs\metric1\S11\validation_report.json,
S12,"If the Front Door Contact Sensor stays open for more than 5 minutes, then turn off the Hallway Light.","If the front door is open for more than 5 minutes, then turn off the hallway light.",door_front|light_hall,"becomes(door_front.contact,open)","command(light_hall,off)",duration_gt(300s),True,True,0,0,0,metrics_out\runs\metric2\S12\final.ir.json,metrics_out\runs\metric2\S12\final.puml,metrics_out\runs\metric2\S12\validation_report.json,,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S12\final.ir.json,metrics_out\runs\metric1\S12\final.puml,metrics_out\runs\metric1\S12\validation_report.json,
S13,"If the Front Door Contact Sensor opens and User Presence is not present, then turn on the Hallway Light.","If the front door opens and the presence sensor is not detected, then turn on the hallway lights.",door_front|presence_user|light_hall,"becomes(door_front.contact,open)","command(light_hall,on)","eq(presence_user.presence,not present)",True,True,0,0,0,metrics_out\runs\metric2\S13\final.ir.json,metrics_out\runs\metric2\S13\final.puml,metrics_out\runs\metric2\S13\validation_report.json,,3,3,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S13\final.ir.json,metrics_out\runs\metric1\S13\final.puml,metrics_out\runs\metric1\S13\validation_report.json,
S14,"If the Front Door Contact Sensor opens while Location Mode is set to Away, then send a notification to the homeowner.","If the front door contact sensor is opened and the mode is set to ""away,"" then send a notification to the homeowner's mobile phone.",door_front|location,"becomes(door_front.contact,open)",notify(),"eq(location.mode,Away)",True,True,0,0,0,metrics_out\runs\metric2\S14\final.ir.json,metrics_out\runs\metric2\S14\final.puml,metrics_out\runs\metric2\S14\validation_report.json,,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S14\final.ir.json,metrics_out\runs\metric1\S14\final.puml,metrics_out\runs\metric1\S14\validation_report.json,
S15,"If the Front Door Lock becomes unlocked while Location Mode is set to Away, then send a notification to the homeowner.","If the front door is unlocked and the current location mode is ""Away,"" then send a notification to the homeowner's phone.",lock_front|location,"becomes(lock_front.lock,unlocked)",notify(),"eq(location.mode,Away)",True,True,0,0,0,metrics_out\runs\metric2\S15\final.ir.json,metrics_out\runs\metric2\S15\final.puml,metrics_out\runs\metric2\S15\validation_report.json,,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S15\final.ir.json,metrics_out\runs\metric1\S15\final.puml,metrics_out\runs\metric1\S15\validation_report.json,
S16,"If the Front Door Contact Sensor opens while Location Mode is Away, then turn on the Main Alarm Siren and send a notification.","If the front door is opened while the alarm is set to away mode, then set off the siren and send a notification to the homeowner's phone.",door_front|location|alarm_main,"becomes(door_front.contact,open)","command(alarm_main,siren)|notify()","eq(location.mode,Away)",True,True,0,0,0,metrics_out\runs\metric2\S16\final.ir.json,metrics_out\runs\metric2\S16\final.puml,metrics_out\runs\metric2\S16\validation_report.json,,3,3,1.0,,1,1,1.0,,2,2,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S16\final.ir.json,metrics_out\runs\metric1\S16\final.puml,metrics_out\runs\metric1\S16\validation_report.json,
S17,"If User Presence becomes not present and Location Mode is set to Away, then turn off the Hallway Light and lock the Front Door Lock.","If everyone leaves the house and the location mode is set to 'Away', then turn off all lights and lock the front door.",presence_user|location|light_hall|lock_front,"becomes(presence_user.presence,not present)","command(light_hall,off)|command(lock_front,lock)","eq(location.mode,Away)",True,True,0,0,0,metrics_out\runs\metric2\S17\final.ir.json,metrics_out\runs\metric2\S17\final.puml,metrics_out\runs\metric2\S17\validation_report.json,,4,4,1.0,,1,1,1.0,,2,2,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S17\final.ir.json,metrics_out\runs\metric1\S17\final.puml,metrics_out\runs\metric1\S17\validation_report.json,
S18,"If the Front Door Lock remains unlocked for more than 5 minutes, then send a notification.","If the front door is unlocked for more than 5 minutes, then send an SMS to the homeowner alerting them of the issue.",lock_front,"becomes(lock_front.lock,unlocked)",notify(),duration_gt(300s),True,True,0,0,0,metrics_out\runs\metric2\S18\final.ir.json,metrics_out\runs\metric2\S18\final.puml,metrics_out\runs\metric2\S18\validation_report.json,,1,1,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S18\final.ir.json,metrics_out\runs\metric1\S18\final.puml,metrics_out\runs\metric1\S18\validation_report.json,
S19,"If the Front Door Lock becomes unlocked and the time is 10:00 PM, then turn off the Hallway Light and lock the Front Door Lock.","If the front door is unlocked and it is 10 PM, then turn off all lights and lock the front door.",lock_front|light_hall,"becomes(lock_front.lock,unlocked)","command(light_hall,off)|command(lock_front,lock)",time_at(22:00),True,False,1,0,1,metrics_out\runs\metric2\S19\final.ir.json,metrics_out\runs\metric2\S19\final.puml,metrics_out\runs\metric2\S19\validation_report.json,,2,2,1.0,,1,1,1.0,,2,2,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S19\final.ir.json,metrics_out\runs\metric1\S19\final.puml,metrics_out\runs\metric1\S19\validation_report.json,
S20,"If the Front Door Lock becomes unlocked after 9:00 PM, then turn on the Hallway Light and send a notification.","If the front door is unlocked after 9pm, then turn on the entryway light and send a notification.",lock_front|light_hall,"becomes(lock_front.lock,unlocked)","command(light_hall,on)|notify()",time_after(21:00),True,True,0,0,0,metrics_out\runs\metric2\S20\final.ir.json,metrics_out\runs\metric2\S20\final.puml,metrics_out\runs\metric2\S20\validation_report.json,,2,2,1.0,,1,1,1.0,,2,2,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S20\final.ir.json,metrics_out\runs\metric1\S20\final.puml,metrics_out\runs\metric1\S20\validation_report.json,
